people
Jorge Luis Borges
Alan Lightman
William Weaver
Scheherazade
John Lee
Gore Vidal
Escher
Winterson
Ahmed Salman Rushdie
Virginia Woolf
Plato
Владимир Владимирович Набоков
Gabriel Garcia Marquez
Wilkie Collins
Umberto Eco
Leo Tolstoy
Marcel Proust
Francesco Petrarca
Paulo Coelho de Souza
Kundera
John Barth
Harold Bloom
Gibran
Gaiman
Foucault
Dante
Conan Doyle
assia djebar
